,index,Task,Title,Task_detailed
0,0,Cut and trim meat to prepare for packing.,"Meat, Poultry, and Fish Cutters and Trimmers","Cut and trim meat to prepare for packing. However, this does not include inspecting meat for defects, producing ground meat, or preparing ready-to-heat foods. The task is limited to the physical cutting and trimming of meat prior to packaging."
1,1,Examine patient to obtain information on medical condition and surgical risk.,"Orthopedic Surgeons, Except Pediatric","Examine patient to obtain information on medical condition and surgical risk. However, this does not include diagnosing disorders, prescribing treatments, or performing surgical procedures. The task is limited to the initial physical assessment and gathering relevant patient information prior to further medical evaluation."
2,2,Confer with engineering personnel regarding details and implications of test procedures and results.,Aerospace Engineering and Operations Technologists and Technicians,"Confer with engineering personnel regarding details and implications of test procedures and results. However, this does not include performing the physical setup, operation, or maintenance of test equipment and facilities. The task is limited to communication and interpretation of test-related information rather than hands-on technical work."
3,3,"Perform administrative or business management tasks, such as scheduling appointments, accepting payments from clients, budgeting, or maintaining business records.",Veterinarians,"Perform administrative or business management tasks, such as scheduling appointments, accepting payments from clients, budgeting, or maintaining business records. However, this does not include clinical duties such as diagnosing, treating, or performing medical procedures on animals. These tasks are limited to the operational and financial aspects of running a veterinary practice."
4,4,"Develop or administer special projects in areas such as pay equity, savings bond programs, day care, and employee awards.",Human Resources Managers,"Develop or administer special projects in areas such as pay equity, savings bond programs, day care, and employee awards. However, this does not include routine administration of compensation, benefits, or performance management systems. The focus is on unique or one-time initiatives rather than ongoing personnel management functions."
5,5,Give directions to crew members engaged in cleaning wheelhouses or quarterdecks.,Sailors and Marine Oilers,"Give directions to crew members engaged in cleaning wheelhouses or quarterdecks. However, this does not include performing the actual cleaning or maintenance tasks. It is limited to providing instructions and coordinating the cleaning activities."
6,6,"Collaborate with graphic artists, editors and writers to produce master copies according to design specifications.",Desktop Publishers,"Collaborate with graphic artists, editors and writers to produce master copies according to design specifications. However, this does not include operating desktop publishing software, making corrections to proofs, or preparing final layouts for printing. The focus is solely on coordinating and integrating input from various contributors to ensure the master copy meets the intended design requirements."
7,7,Prepare evidence for presentation in court.,"Fraud Examiners, Investigators and Analysts","Prepare evidence for presentation in court. However, this does not include the actual testimony or legal argumentation during court proceedings. The task is limited to organizing and compiling evidence in a clear and admissible format for use by legal professionals."
8,8,Monitor emission control devices to ensure they are operating properly and comply with state and federal regulations.,"Environmental Science and Protection Technicians, Including Health","Monitor emission control devices to ensure they are operating properly and comply with state and federal regulations. However, this does not include collecting samples, analyzing test data, or preparing reports related to emissions. The task is limited to the operational monitoring and compliance verification of emission control equipment."
9,9,"Treat deformities using mechanical methods, such as whirlpool or paraffin baths, and electrical methods, such as short wave and low voltage currents.",Podiatrists,"Treat deformities using mechanical methods, such as whirlpool or paraffin baths, and electrical methods, such as short wave and low voltage currents. However, this does not include surgical interventions or the prescription of medications and corrective devices. These treatments are limited to non-invasive therapeutic modalities aimed at improving foot and ankle conditions."
10,10,Monitor and record switchboard or control board readings to ensure that electrical or steam distribution equipment is operating properly.,Power Distributors and Dispatchers,"Monitor and record switchboard or control board readings to ensure that electrical or steam distribution equipment is operating properly. However, this does not include controlling, adjusting, or responding to equipment operations or emergencies. The task is limited to observation and documentation of equipment status."
11,11,Maintain quality of pool water by testing chemical levels.,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","Maintain quality of pool water by testing chemical levels. However, this does not include performing rescues, administering first aid, or monitoring recreational areas for safety. The task is limited to chemical testing and does not involve emergency response or facility supervision."
12,12,"Confer with other staff members to plan, schedule, or conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.","Special Education Teachers, Kindergarten","Confer with other staff members to plan, schedule, or conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate. However, this does not include administering tests, developing individual educational plans, or managing classroom behavior. The focus is solely on collaborative planning and organizing instructional activities."
13,13,"Design or supervise the installation of sprinkler systems, calculating water pressure, or valve and pipe coverage needs.","First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","Design or supervise the installation of sprinkler systems, calculating water pressure, or valve and pipe coverage needs. However, this does not include performing routine maintenance or repairs on existing sprinkler systems. The focus is on planning and oversight rather than hands-on installation or troubleshooting."
14,14,"Recruit, interview, and hire or sign up volunteers and staff.",Social and Community Service Managers,"Recruit, interview, and hire or sign up volunteers and staff. However, this does not include managing or evaluating their ongoing work performance or directing their daily activities. This task is limited to the initial recruitment and hiring process only."
15,15,Select and schedule class times to ensure maximum attendance.,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Select and schedule class times to ensure maximum attendance. However, this does not include developing curriculum content or managing student assessments. The focus is solely on organizing class schedules to optimize student participation."
16,16,"Write grants to procure external funding, and supervise grant-funded projects.","Education Administrators, Postsecondary","Write grants to procure external funding, and supervise grant-funded projects. However, this does not include managing general institutional budgets or overseeing personnel unrelated to grant-funded initiatives. The focus is specifically on securing and administering external grant resources."
