Task,Task Type,Title,human_labels,Task_detailed,Exposed
Cut and trim meat to prepare for packing.,Core,"Meat, Poultry, and Fish Cutters and Trimmers",E0,"Cut and trim meat to prepare for packing. However, this does not include inspecting meat for defects, producing ground meat, or preparing ready-to-heat foods. The task is limited to the physical cutting and trimming of meat prior to packaging.",0.0
Examine patient to obtain information on medical condition and surgical risk.,,"Orthopedic Surgeons, Except Pediatric",E0,"Examine patient to obtain information on medical condition and surgical risk. However, this does not include diagnosing disorders, prescribing treatments, or performing surgical procedures. The task is limited to the initial physical assessment and gathering relevant patient information prior to further medical evaluation.",0.0
Confer with engineering personnel regarding details and implications of test procedures and results.,Core,Aerospace Engineering and Operations Technologists and Technicians,E2,"Confer with engineering personnel regarding details and implications of test procedures and results. However, this does not include performing the physical setup, operation, or maintenance of test equipment and facilities. The task is limited to communication and interpretation of test-related information rather than hands-on technical work.",
"Perform administrative or business management tasks, such as scheduling appointments, accepting payments from clients, budgeting, or maintaining business records.",Core,Veterinarians,E2,"Perform administrative or business management tasks, such as scheduling appointments, accepting payments from clients, budgeting, or maintaining business records. However, this does not include clinical duties such as diagnosing, treating, or performing medical procedures on animals. These tasks are limited to the operational and financial aspects of running a veterinary practice.",1.0
"Develop or administer special projects in areas such as pay equity, savings bond programs, day care, and employee awards.",Core,Human Resources Managers,E2,"Develop or administer special projects in areas such as pay equity, savings bond programs, day care, and employee awards. However, this does not include routine administration of compensation, benefits, or performance management systems. The focus is on unique or one-time initiatives rather than ongoing personnel management functions.",
Give directions to crew members engaged in cleaning wheelhouses or quarterdecks.,Core,Sailors and Marine Oilers,E0,"Give directions to crew members engaged in cleaning wheelhouses or quarterdecks. However, this does not include performing the actual cleaning or maintenance tasks. It is limited to providing instructions and coordinating the cleaning activities.",
"Collaborate with graphic artists, editors and writers to produce master copies according to design specifications.",Supplemental,Desktop Publishers,E2,"Collaborate with graphic artists, editors and writers to produce master copies according to design specifications. However, this does not include operating desktop publishing software, making corrections to proofs, or preparing final layouts for printing. The focus is solely on coordinating and integrating input from various contributors to ensure the master copy meets the intended design requirements.",
Prepare evidence for presentation in court.,Core,"Fraud Examiners, Investigators and Analysts",E2,"Prepare evidence for presentation in court. However, this does not include the actual testimony or legal argumentation during court proceedings. The task is limited to organizing and compiling evidence in a clear and admissible format for use by legal professionals.",1.0
Monitor emission control devices to ensure they are operating properly and comply with state and federal regulations.,Core,"Environmental Science and Protection Technicians, Including Health",E2,"Monitor emission control devices to ensure they are operating properly and comply with state and federal regulations. However, this does not include collecting samples, analyzing test data, or preparing reports related to emissions. The task is limited to the operational monitoring and compliance verification of emission control equipment.",0.0
"Treat deformities using mechanical methods, such as whirlpool or paraffin baths, and electrical methods, such as short wave and low voltage currents.",Supplemental,Podiatrists,E0,"Treat deformities using mechanical methods, such as whirlpool or paraffin baths, and electrical methods, such as short wave and low voltage currents. However, this does not include surgical interventions or the prescription of medications and corrective devices. These treatments are limited to non-invasive therapeutic modalities aimed at improving foot and ankle conditions.",0.0
